Capacitance [F],Height [mm],Width [mm],Length [mm],Voltage - Rated,digi-key part number,no. of capacitors req.,Capacitance req. [F],Operating Temperature,Product URL
150.0,42.0,10.5,10.5,3.8,283-HSL1040-3R8157-R-ND,8,1106.9252077562328,-25°C ~ 60°C,https://www.digikey.nl/en/products/detail/eaton-electronics-division/HSL1040-3R8157-R/16163995
200.0,25.0,16.0,16.0,3.8,2085-PBLC-3R8/200MA2-ND,6,1106.9252077562328,-15°C ~ 70°C,https://www.digikey.nl/en/products/detail/tecate-group/PBLC-3R8-200MA2/13913364
220.0,25.0,16.0,16.0,3.8,2085-PBLC-3R8/220MA2-ND,6,1106.9252077562328,-15°C ~ 70°C,https://www.digikey.nl/en/products/detail/tecate-group/PBLC-3R8-220MA2/13913368
11.0,0.0,11.5,11.5,18.0,338-DSM126Q018W075PB-ND,5,49.333333333333336,-40°C ~ 65°C,https://www.digikey.nl/en/products/detail/cornell-dubilier-electronics-cde/DSM126Q018W075PB/17047439
